business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count_x,is_open,attributes,categories,hours,is_restaurant,is_fusion,price_range,avg_rating,review_count_y,rating_std,avg_sentiment
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,6625 E 82nd St,Indianapolis,IN,46250,39.9043203184,-86.0530799,4.0,20,1,"{'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2'}","['Steakhouses', 'Asian Fusion', 'Restaurants']","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",True,True,2,3.95,20,1.504,3.95
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,2501 Mt Holly Rd 245,Burlington,NJ,08016,40.0416285,-74.8258209,3.5,6,0,"{'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'NoiseLevel': ""u'quiet'"", 'BusinessAcceptsCreditCards': 'True'}","['Restaurants', 'Japanese', 'Sushi Bars', 'Asian Fusion']",,True,True,2,3.667,6,1.033,3.667
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,"{'Caters': 'False', 'BikeParking': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Smoking': ""u'no'"", 'WiFi': ""u'free'"", 'CoatCheck': 'False', 'HasTV': 'True', 'WheelchairAccessible': 'False', 'GoodForKids': 'True', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Music': ""{'karaoke': True}"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'GoodForDancing': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsDelivery': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'OutdoorSeating': 'False', 'Alcohol': ""u'full_bar'""}","['Shanghainese', 'Restaurants', 'Sushi Bars', 'Szechuan', 'Sports Bars', 'Lounges', 'Asian Fusion', 'Thai', 'Karaoke', 'Chinese', 'Nightlife', 'Bars']",,True,True,2,4.062,48,1.119,4.062
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,401 E City Ave,Bala Cynwyd,PA,19004,40.0079839104,-75.2126064939,4.0,92,0,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'OutdoorSeating': 'False', 'CoatCheck': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""'dressy'"", 'RestaurantsReservations': 'True', 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}"", 'RestaurantsPriceRange2': '4', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'BikeParking': 'True', 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'WiFi': ""u'free'"", 'Smoking': ""u'no'"", 'GoodForDancing': 'False', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'False'}","['Nightlife', 'Bars', 'Cocktail Bars', 'Japanese', 'Restaurants', 'Sushi Bars', 'Asian Fusion']","{'Monday': '11:30-22:0', 'Tuesday': '16:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-0:0', 'Saturday': '16:30-0:0', 'Sunday': '16:30-22:0'}",True,True,4,4.221,95,1.15,4.221
O5zuQH_YowDC-rsK8ZEXCA,Tin Drum Asia Cafe,"3867Tampa Rd, Ste 305",Tampa,FL,34677,28.0451503082,-82.6812278379,3.0,62,0,"{'OutdoorSeating': 'False', 'Alcohol': ""'none'"", 'RestaurantsTableService': 'False', 'HasTV': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'BikeParking': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""'no'"", 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': True, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}""}","['Asian Fusion', 'Restaurants']","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}",True,True,1,3.0,69,1.372,3.0
71U7MxQEhwitJOm4CQpRwQ,KELP Sushi Joint,"3401 W Bay To Bay Blvd, Ste D",Tampa,FL,33629,27.920067,-82.4989209,4.0,325,1,"{'RestaurantsAttire': ""u'casual'"", 'HasTV': 'False', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'DogsAllowed': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}""}","['Japanese', 'Sushi Bars', 'Food', 'Restaurants', 'Asian Fusion', 'Poke', 'Acai Bowls']","{'Monday': '0:0-0:0', 'Tuesday': '11:0-16:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-20:0', 'Saturday': '16:0-22:0', 'Sunday': '11:0-22:0'}",True,True,2,3.881,345,1.445,3.881
RuBWR6CAgVi7iWR8LHUi6A,Lee House,10704 97 Street NW,Edmonton,AB,T5H 2L9,53.551925,-113.4896661,4.0,30,1,"{'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsReservations': 'True', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'Caters': 'False', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""'beer_and_wine'"", 'HasTV': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'RestaurantsDelivery': 'True'}","['Barbeque', 'Asian Fusion', 'Restaurants', 'Korean']","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0'}",True,True,2,4.067,30,0.907,4.067
8P7YOM9ThhTvLqXfSWRcRA,Noodles & Company,10925 Olive Blvd,Creve Coeur,MO,63141,38.6735532,-90.4204985,3.5,65,1,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'WiFi': ""'free'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'Alcohol': ""'none'"", 'OutdoorSeating': 'True', 'Caters': 'True', 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BikeParking': 'True', 'RestaurantsDelivery': 'True', 'HasTV': 'True'}","['Comfort Food', 'Restaurants', 'Italian', 'Asian Fusion', 'Food', 'American (New)', 'Noodles', 'Pasta Shops', 'Salad', 'Fast Food', 'Specialty Food']","{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-22:0', 'Saturday': '10:30-22:0', 'Sunday': '10:30-21:0'}",True,True,1,3.561,66,1.394,3.561
bdth7r1brx9yRU7sYwF9jQ,Nippon Tei,14025 Manchester Rd,Ballwin,MO,63011,38.596068,-90.493565,4.0,254,1,"{'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'BYOBCorkage': ""'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'False', 'BikeParking': 'False', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'WiFi': ""u'no'"", 'Caters': 'True', 'GoodForKids': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'NoiseLevel': ""u'average'"", 'DogsAllowed': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}""}","['Japanese', 'Asian Fusion', 'Wine Bars', 'Bars', 'Restaurants', 'Sushi Bars', 'Nightlife']","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-21:0'}",True,True,2,4.004,266,1.325,4.004
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,610 S 5th St,Philadelphia,PA,19147,39.9415201345,-75.1509702725,4.5,159,1,"{'Caters': 'True', 'HasTV': 'True', 'WiFi': ""'no'"", 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'HappyHour': 'False', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'none'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'None', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'False', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTableService': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsReservations': 'True'}","['Restaurants', 'Malaysian', 'Burmese', 'Asian Fusion', 'Thai']","{'Monday': '0:0-0:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0'}",True,True,2,4.393,163,0.946,4.393
